n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:111 R:0.999957 G:0.999961 B:0.999965 All:0.999961 (44.062816)
n:112 R:0.999955 G:0.999959 B:0.999965 All:0.999960 (43.962429)
n:113 R:0.999954 G:0.999959 B:0.999965 All:0.999959 (43.900793)
n:114 R:0.999956 G:0.999962 B:0.999965 All:0.999961 (44.098261)
n:115 R:0.999956 G:0.999961 B:0.999964 All:0.999960 (44.020106)
n:116 R:0.999955 G:0.999960 B:0.999964 All:0.999960 (43.972259)
n:117 R:0.999955 G:0.999960 B:0.999966 All:0.999960 (44.030781)
n:118 R:0.999956 G:0.999961 B:0.999966 All:0.999961 (44.074153)
n:119 R:0.999952 G:0.999956 B:0.999965 All:0.999958 (43.753154)
n:120 R:0.999957 G:0.999961 B:0.999964 All:0.999961 (44.079480)
n:121 R:0.999958 G:0.999961 B:0.999967 All:0.999962 (44.185075)
n:122 R:0.999955 G:0.999956 B:0.999966 All:0.999959 (43.863979)
n:123 R:0.999954 G:0.999957 B:0.999966 All:0.999959 (43.847644)
n:124 R:0.999959 G:0.999961 B:0.999965 All:0.999962 (44.170225)
n:125 R:0.999957 G:0.999961 B:0.999966 All:0.999961 (44.133711)
n:126 R:0.999958 G:0.999961 B:0.999965 All:0.999961 (44.113481)
n:127 R:0.999959 G:0.999961 B:0.999964 All:0.999961 (44.113936)
n:128 R:0.999955 G:0.999959 B:0.999964 All:0.999959 (43.899710)
n:129 R:0.999954 G:0.999959 B:0.999964 All:0.999959 (43.875556)
n:130 R:0.999952 G:0.999956 B:0.999963 All:0.999957 (43.666056)
n:131 R:0.999958 G:0.999961 B:0.999965 All:0.999961 (44.143840)
n:132 R:0.999952 G:0.999955 B:0.999964 All:0.999957 (43.668273)
n:133 R:0.999951 G:0.999955 B:0.999964 All:0.999957 (43.615401)
n:134 R:0.999955 G:0.999959 B:0.999964 All:0.999959 (43.872554)
n:135 R:0.999958 G:0.999962 B:0.999964 All:0.999961 (44.139615)
n:136 R:0.999952 G:0.999956 B:0.999963 All:0.999957 (43.667146)
n:137 R:0.999958 G:0.999962 B:0.999966 All:0.999962 (44.171105)
n:138 R:0.999958 G:0.999962 B:0.999965 All:0.999962 (44.160395)
n:139 R:0.999952 G:0.999956 B:0.999966 All:0.999958 (43.760361)
n:140 R:0.999957 G:0.999961 B:0.999967 All:0.999961 (44.129838)
n:141 R:0.999953 G:0.999957 B:0.999966 All:0.999959 (43.842807)
n:142 R:0.999955 G:0.999959 B:0.999968 All:0.999961 (44.052066)
n:143 R:0.999951 G:0.999957 B:0.999967 All:0.999958 (43.802953)
n:144 R:0.999954 G:0.999959 B:0.999968 All:0.999960 (44.011477)
n:145 R:0.999951 G:0.999957 B:0.999966 All:0.999958 (43.783351)
n:146 R:0.999952 G:0.999956 B:0.999964 All:0.999957 (43.678806)
n:147 R:0.999949 G:0.999955 B:0.999963 All:0.999955 (43.514945)
n:148 R:0.999949 G:0.999955 B:0.999962 All:0.999955 (43.502910)
n:149 R:0.999948 G:0.999955 B:0.999963 All:0.999956 (43.535078)
n:150 R:0.999949 G:0.999956 B:0.999964 All:0.999956 (43.592513)
n:151 R:0.999948 G:0.999954 B:0.999962 All:0.999955 (43.449663)
n:152 R:0.999951 G:0.999956 B:0.999964 All:0.999957 (43.645954)
n:153 R:0.999948 G:0.999956 B:0.999963 All:0.999956 (43.538114)
n:154 R:0.999950 G:0.999956 B:0.999965 All:0.999957 (43.662917)
n:155 R:0.999950 G:0.999955 B:0.999964 All:0.999957 (43.631383)
n:156 R:0.999951 G:0.999956 B:0.999965 All:0.999957 (43.657013)
n:157 R:0.999950 G:0.999954 B:0.999965 All:0.999956 (43.597626)
n:158 R:0.999951 G:0.999954 B:0.999964 All:0.999956 (43.593542)
n:159 R:0.999951 G:0.999954 B:0.999965 All:0.999956 (43.596002)
n:160 R:0.999953 G:0.999953 B:0.999964 All:0.999957 (43.656616)
n:161 R:0.999949 G:0.999953 B:0.999963 All:0.999955 (43.465702)
n:162 R:0.999953 G:0.999954 B:0.999963 All:0.999956 (43.605243)
n:163 R:0.999951 G:0.999952 B:0.999960 All:0.999954 (43.402946)
n:164 R:0.999953 G:0.999954 B:0.999961 All:0.999956 (43.564130)
n:165 R:0.999950 G:0.999953 B:0.999960 All:0.999955 (43.434896)
n:166 R:0.999954 G:0.999954 B:0.999962 All:0.999956 (43.604555)
n:167 R:0.999953 G:0.999954 B:0.999961 All:0.999956 (43.580965)
n:168 R:0.999952 G:0.999954 B:0.999960 All:0.999956 (43.526920)
n:169 R:0.999953 G:0.999954 B:0.999960 All:0.999956 (43.522155)
n:170 R:0.999953 G:0.999955 B:0.999959 All:0.999956 (43.534839)
n:171 R:0.999952 G:0.999955 B:0.999960 All:0.999956 (43.518084)
n:172 R:0.999953 G:0.999955 B:0.999959 All:0.999956 (43.524066)
n:173 R:0.999951 G:0.999955 B:0.999958 All:0.999954 (43.414161)
n:174 R:0.999952 G:0.999954 B:0.999959 All:0.999955 (43.463547)
n:175 R:0.999951 G:0.999954 B:0.999958 All:0.999954 (43.405139)
n:176 R:0.999953 G:0.999955 B:0.999957 All:0.999955 (43.504731)
n:177 R:0.999951 G:0.999955 B:0.999958 All:0.999955 (43.438404)
n:178 R:0.999952 G:0.999954 B:0.999957 All:0.999954 (43.403345)
n:179 R:0.999953 G:0.999955 B:0.999956 All:0.999955 (43.464542)
n:180 R:0.999952 G:0.999955 B:0.999955 All:0.999954 (43.368655)
n:181 R:0.999953 G:0.999954 B:0.999956 All:0.999954 (43.411075)
n:182 R:0.999952 G:0.999953 B:0.999954 All:0.999953 (43.303466)
n:183 R:0.999954 G:0.999955 B:0.999957 All:0.999955 (43.491219)
n:184 R:0.999953 G:0.999954 B:0.999957 All:0.999955 (43.436096)
n:185 R:0.999953 G:0.999954 B:0.999956 All:0.999954 (43.390799)
n:186 R:0.999953 G:0.999956 B:0.999957 All:0.999955 (43.513148)
n:187 R:0.999954 G:0.999955 B:0.999957 All:0.999955 (43.481077)
n:188 R:0.999952 G:0.999954 B:0.999957 All:0.999955 (43.438489)
n:189 R:0.999952 G:0.999953 B:0.999957 All:0.999954 (43.398880)
n:190 R:0.999951 G:0.999954 B:0.999956 All:0.999954 (43.352698)
n:191 R:0.999953 G:0.999954 B:0.999958 All:0.999955 (43.435842)
n:192 R:0.999950 G:0.999952 B:0.999957 All:0.999953 (43.289181)
n:193 R:0.999952 G:0.999954 B:0.999958 All:0.999955 (43.437516)
n:194 R:0.999950 G:0.999954 B:0.999958 All:0.999954 (43.376937)
n:195 R:0.999951 G:0.999953 B:0.999958 All:0.999954 (43.373582)
n:196 R:0.999949 G:0.999953 B:0.999959 All:0.999954 (43.357833)
n:197 R:0.999948 G:0.999953 B:0.999960 All:0.999954 (43.342128)
n:198 R:0.999950 G:0.999955 B:0.999961 All:0.999955 (43.497858)
n:199 R:0.999950 G:0.999956 B:0.999963 All:0.999956 (43.561126)
n:200 R:0.999950 G:0.999955 B:0.999962 All:0.999956 (43.549087)
n:201 R:0.999951 G:0.999957 B:0.999964 All:0.999958 (43.725180)
n:202 R:0.999949 G:0.999957 B:0.999963 All:0.999956 (43.585955)
n:203 R:0.999950 G:0.999957 B:0.999964 All:0.999957 (43.666468)
n:204 R:0.999949 G:0.999957 B:0.999963 All:0.999956 (43.596587)
n:205 R:0.999949 G:0.999956 B:0.999963 All:0.999956 (43.557232)
n:206 R:0.999950 G:0.999957 B:0.999964 All:0.999957 (43.676210)
n:207 R:0.999949 G:0.999956 B:0.999963 All:0.999956 (43.554377)
n:208 R:0.999949 G:0.999956 B:0.999964 All:0.999956 (43.612581)
n:209 R:0.999949 G:0.999956 B:0.999963 All:0.999956 (43.574756)
n:210 R:0.999950 G:0.999956 B:0.999964 All:0.999957 (43.632101)
n:211 R:0.999952 G:0.999956 B:0.999963 All:0.999957 (43.691103)
n:212 R:0.999952 G:0.999957 B:0.999963 All:0.999957 (43.692540)
n:213 R:0.999954 G:0.999958 B:0.999963 All:0.999958 (43.797462)
n:214 R:0.999952 G:0.999958 B:0.999963 All:0.999958 (43.720877)
n:215 R:0.999953 G:0.999957 B:0.999964 All:0.999958 (43.763653)
n:216 R:0.999954 G:0.999957 B:0.999964 All:0.999959 (43.823968)
n:217 R:0.999953 G:0.999955 B:0.999963 All:0.999957 (43.666960)
n:218 R:0.999954 G:0.999957 B:0.999965 All:0.999959 (43.850900)
n:219 R:0.999953 G:0.999956 B:0.999963 All:0.999957 (43.687282)
n:220 R:0.999953 G:0.999957 B:0.999965 All:0.999958 (43.812988)
n:221 R:0.999954 G:0.999957 B:0.999964 All:0.999958 (43.775263)
n:222 R:0.999953 G:0.999957 B:0.999963 All:0.999958 (43.738475)
n:223 R:0.999952 G:0.999955 B:0.999963 All:0.999957 (43.642093)
n:224 R:0.999952 G:0.999957 B:0.999963 All:0.999957 (43.687935)
n:225 R:0.999950 G:0.999956 B:0.999965 All:0.999957 (43.675316)
