n:171 R:0.999994 G:0.999996 B:0.999995 All:0.999995 (53.095421)
n:172 R:0.999998 G:0.999997 B:0.999997 All:0.999997 (55.682804)
n:173 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:174 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (67.849148)
n:175 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:176 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:177 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:178 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:179 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:180 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:181 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:182 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:183 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:184 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:185 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:186 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:187 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:188 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:189 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:190 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:191 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:192 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:193 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:194 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:195 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:196 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:197 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:198 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:199 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:200 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:201 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:202 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:203 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:204 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:205 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:206 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:207 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:208 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
