n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:132 R:0.997488 G:0.997490 B:0.997496 All:0.997492 (26.005863)
n:133 R:0.997485 G:0.997487 B:0.997492 All:0.997488 (25.999258)
n:134 R:0.997486 G:0.997487 B:0.997489 All:0.997487 (25.998544)
n:135 R:0.997490 G:0.997489 B:0.997491 All:0.997490 (26.003308)
n:136 R:0.997490 G:0.997489 B:0.997492 All:0.997491 (26.004389)
n:137 R:0.997491 G:0.997489 B:0.997493 All:0.997491 (26.004719)
n:138 R:0.997492 G:0.997491 B:0.997493 All:0.997492 (26.007260)
n:139 R:0.997491 G:0.997490 B:0.997493 All:0.997491 (26.005739)
n:140 R:0.997490 G:0.997490 B:0.997492 All:0.997491 (26.004718)
n:141 R:0.997491 G:0.997490 B:0.997492 All:0.997491 (26.004483)
n:142 R:0.997488 G:0.997489 B:0.997495 All:0.997491 (26.004868)
n:143 R:0.997489 G:0.997492 B:0.997499 All:0.997493 (26.008847)
n:144 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:145 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:146 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:147 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:148 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:149 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:150 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:151 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:152 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:153 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:154 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:155 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:156 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:157 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:158 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:159 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
n:160 R:0.997492 G:0.997494 B:0.997501 All:0.997496 (26.012874)
