n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:111 R:0.996855 G:0.996865 B:0.999067 All:0.997596 (26.189913)
n:112 R:0.996996 G:0.996995 B:0.999163 All:0.997718 (26.416532)
n:113 R:0.997007 G:0.997005 B:0.999173 All:0.997728 (26.436432)
n:114 R:0.996926 G:0.996931 B:0.999070 All:0.997642 (26.275281)
n:115 R:0.996763 G:0.996761 B:0.999231 All:0.997585 (26.170837)
n:116 R:0.996552 G:0.996550 B:0.998992 All:0.997365 (25.791866)
n:117 R:0.996756 G:0.996755 B:0.999204 All:0.997572 (26.146895)
n:118 R:0.996711 G:0.996709 B:0.999169 All:0.997530 (26.072439)
n:119 R:0.996775 G:0.996773 B:0.999251 All:0.997600 (26.197094)
n:120 R:0.996796 G:0.996797 B:0.999287 All:0.997627 (26.246793)
n:121 R:0.996160 G:0.996159 B:0.998530 All:0.996950 (25.156798)
n:122 R:0.996632 G:0.996631 B:0.998989 All:0.997417 (25.879360)
n:123 R:0.996607 G:0.996607 B:0.998982 All:0.997399 (25.848485)
n:124 R:0.996607 G:0.996607 B:0.998957 All:0.997391 (25.834956)
n:125 R:0.996544 G:0.996541 B:0.998871 All:0.997319 (25.716730)
n:126 R:0.996590 G:0.996593 B:0.998947 All:0.997377 (25.811751)
n:127 R:0.996580 G:0.996582 B:0.998967 All:0.997376 (25.810606)
n:128 R:0.996564 G:0.996566 B:0.998921 All:0.997350 (25.768187)
n:129 R:0.996632 G:0.996632 B:0.998993 All:0.997419 (25.881910)
n:130 R:0.995931 G:0.995933 B:0.997963 All:0.996609 (24.697011)
n:131 R:0.997103 G:0.997100 B:0.999098 All:0.997767 (26.511402)
n:132 R:0.997080 G:0.997079 B:0.999060 All:0.997740 (26.458045)
n:133 R:0.997081 G:0.997080 B:0.999081 All:0.997747 (26.472631)
n:134 R:0.997079 G:0.997078 B:0.999080 All:0.997746 (26.469682)
n:135 R:0.997071 G:0.997071 B:0.999033 All:0.997725 (26.429610)
n:136 R:0.997068 G:0.997068 B:0.999037 All:0.997724 (26.429088)
n:137 R:0.997035 G:0.997035 B:0.998999 All:0.997690 (26.363171)
n:138 R:0.997013 G:0.997013 B:0.998986 All:0.997671 (26.327819)
n:139 R:0.997020 G:0.997019 B:0.998980 All:0.997673 (26.332446)
n:140 R:0.997022 G:0.997022 B:0.998986 All:0.997676 (26.338542)
n:141 R:0.997108 G:0.997109 B:0.999085 All:0.997767 (26.511748)
n:142 R:0.996414 G:0.996421 B:0.997876 All:0.996904 (25.091502)
n:143 R:0.995826 G:0.995829 B:0.997357 All:0.996337 (24.361982)
n:144 R:0.995953 G:0.995958 B:0.998889 All:0.996933 (25.133479)
n:145 R:0.998560 G:0.998562 B:0.999227 All:0.998783 (29.147746)
n:146 R:0.998951 G:0.998945 B:0.998947 All:0.998947 (29.777237)
n:147 R:0.999190 G:0.999191 B:0.999383 All:0.999255 (31.276119)
n:148 R:0.999317 G:0.999320 B:0.999445 All:0.999361 (31.942093)
n:149 R:0.999411 G:0.999408 B:0.999173 All:0.999331 (31.743277)
n:150 R:0.999439 G:0.999444 B:0.999466 All:0.999450 (32.593486)
n:151 R:0.999425 G:0.999438 B:0.998955 All:0.999273 (31.382543)
n:152 R:0.999500 G:0.999499 B:0.999286 All:0.999428 (32.429557)
n:153 R:0.999675 G:0.999662 B:0.999563 All:0.999633 (34.357916)
n:154 R:0.999790 G:0.999785 B:0.999587 All:0.999721 (35.540921)
n:155 R:0.999827 G:0.999817 B:0.999719 All:0.999788 (36.729063)
n:156 R:0.999786 G:0.999783 B:0.999671 All:0.999747 (35.965548)
n:157 R:0.999846 G:0.999841 B:0.999686 All:0.999791 (36.795947)
n:158 R:0.999798 G:0.999803 B:0.999687 All:0.999763 (36.245456)
n:159 R:0.999837 G:0.999842 B:0.999703 All:0.999794 (36.869004)
n:160 R:0.999800 G:0.999784 B:0.999743 All:0.999776 (36.489821)
n:161 R:0.999799 G:0.999797 B:0.999778 All:0.999791 (36.804805)
n:162 R:0.999844 G:0.999837 B:0.999836 All:0.999839 (37.937266)
n:163 R:0.999880 G:0.999883 B:0.999873 All:0.999879 (39.169251)
n:164 R:0.999780 G:0.999775 B:0.999779 All:0.999778 (36.538898)
n:165 R:0.999800 G:0.999800 B:0.999796 All:0.999799 (36.959670)
n:166 R:0.999812 G:0.999790 B:0.999793 All:0.999798 (36.953557)
n:167 R:0.999791 G:0.999776 B:0.999784 All:0.999784 (36.652999)
n:168 R:0.999860 G:0.999857 B:0.999865 All:0.999860 (38.551445)
n:169 R:0.999826 G:0.999819 B:0.999818 All:0.999821 (37.472856)
n:170 R:0.999804 G:0.999796 B:0.999807 All:0.999802 (37.041549)
n:171 R:0.999799 G:0.999787 B:0.999803 All:0.999796 (36.907539)
n:172 R:0.999850 G:0.999841 B:0.999854 All:0.999848 (38.194649)
n:173 R:0.996849 G:0.996850 B:0.996854 All:0.996851 (25.018432)
n:174 R:0.999834 G:0.999835 B:0.999841 All:0.999837 (37.865260)
n:175 R:0.999796 G:0.999787 B:0.999810 All:0.999798 (36.945200)
n:176 R:0.999836 G:0.999827 B:0.999817 All:0.999826 (37.606429)
n:177 R:0.999888 G:0.999886 B:0.999896 All:0.999890 (39.583260)
n:178 R:0.999871 G:0.999867 B:0.999874 All:0.999871 (38.890415)
n:179 R:0.999892 G:0.999896 B:0.999902 All:0.999897 (39.857053)
n:180 R:0.999882 G:0.999869 B:0.999890 All:0.999881 (39.228320)
n:181 R:0.999873 G:0.999874 B:0.999881 All:0.999876 (39.071566)
n:182 R:0.999875 G:0.999868 B:0.999855 All:0.999866 (38.723205)
n:183 R:0.999873 G:0.999872 B:0.999867 All:0.999871 (38.896600)
n:184 R:0.999792 G:0.999781 B:0.999802 All:0.999792 (36.819384)
n:185 R:0.999889 G:0.999879 B:0.999899 All:0.999889 (39.534110)
n:186 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720364)
n:187 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:188 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:189 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720364)
n:190 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720364)
n:191 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720364)
n:192 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:193 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:194 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:195 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:196 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:197 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:198 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:199 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:200 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720573)
n:201 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720607)
n:202 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720607)
n:203 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:204 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:205 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:206 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:207 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:208 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720607)
n:209 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720607)
n:210 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720804)
n:211 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720607)
n:212 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:213 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:214 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:215 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:216 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:217 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:218 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:219 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:220 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:221 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:222 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:223 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:224 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:225 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:226 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:227 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:228 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:229 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:230 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:231 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:232 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:233 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:234 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:235 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:236 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:237 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
n:238 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:239 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720536)
n:240 R:0.999897 G:0.999894 B:0.999889 All:0.999893 (39.720330)
