n:1 R:1.000000 G:1.000000 B:1.000000 All:1.000000 (inf)
n:170 R:0.989890 G:0.989940 B:0.989806 All:0.989879 (19.947614)
n:171 R:0.989807 G:0.989862 B:0.989744 All:0.989804 (19.915840)
n:172 R:0.989822 G:0.989865 B:0.989735 All:0.989807 (19.917147)
n:173 R:0.989850 G:0.989894 B:0.989774 All:0.989839 (19.930787)
n:174 R:0.989828 G:0.989889 B:0.989731 All:0.989816 (19.920876)
n:175 R:0.989851 G:0.989888 B:0.989695 All:0.989811 (19.918860)
n:176 R:0.989899 G:0.989952 B:0.989792 All:0.989881 (19.948670)
n:177 R:0.989966 G:0.990020 B:0.989850 All:0.989945 (19.976306)
n:178 R:0.990020 G:0.990065 B:0.989890 All:0.989992 (19.996376)
n:179 R:0.989973 G:0.989997 B:0.989806 All:0.989925 (19.967640)
n:180 R:0.990043 G:0.990089 B:0.989912 All:0.990015 (20.006487)
n:181 R:0.990018 G:0.990084 B:0.989936 All:0.990013 (20.005655)
n:182 R:0.990012 G:0.990064 B:0.989882 All:0.989986 (19.993996)
n:183 R:0.990023 G:0.990060 B:0.989857 All:0.989980 (19.991351)
n:184 R:0.989990 G:0.990027 B:0.989835 All:0.989951 (19.978573)
n:185 R:0.990108 G:0.990132 B:0.989960 All:0.990067 (20.029011)
n:186 R:0.990134 G:0.990149 B:0.989971 All:0.990084 (20.036828)
n:187 R:0.990095 G:0.990101 B:0.989926 All:0.990041 (20.017651)
n:188 R:0.990083 G:0.990083 B:0.989854 All:0.990007 (20.002902)
n:189 R:0.990111 G:0.990102 B:0.989875 All:0.990029 (20.012695)
n:190 R:0.990122 G:0.990113 B:0.989891 All:0.990042 (20.018447)
n:191 R:0.990107 G:0.990075 B:0.989818 All:0.990000 (19.999936)
n:192 R:0.990112 G:0.990102 B:0.989871 All:0.990028 (20.012195)
n:193 R:0.990127 G:0.990110 B:0.989900 All:0.990046 (20.019946)
n:194 R:0.990086 G:0.990069 B:0.989821 All:0.989992 (19.996605)
n:195 R:0.990080 G:0.990084 B:0.989849 All:0.990004 (20.001928)
n:196 R:0.990003 G:0.989969 B:0.989733 All:0.989901 (19.957357)
n:197 R:0.990050 G:0.990031 B:0.989773 All:0.989951 (19.978965)
n:198 R:0.989981 G:0.989948 B:0.989708 All:0.989879 (19.947780)
n:199 R:0.989951 G:0.989917 B:0.989666 All:0.989844 (19.932926)
n:200 R:0.990044 G:0.990017 B:0.989772 All:0.989944 (19.975822)
n:201 R:0.989978 G:0.989962 B:0.989713 All:0.989884 (19.950041)
n:202 R:0.989994 G:0.989976 B:0.989726 All:0.989899 (19.956289)
n:203 R:0.990007 G:0.989998 B:0.989785 All:0.989930 (19.969616)
n:204 R:0.990015 G:0.990007 B:0.989805 All:0.989942 (19.975044)
n:205 R:0.989995 G:0.989982 B:0.989785 All:0.989921 (19.965679)
n:206 R:0.990045 G:0.990038 B:0.989818 All:0.989967 (19.985602)
n:207 R:0.990064 G:0.990072 B:0.989849 All:0.989995 (19.997868)
n:208 R:0.990104 G:0.990107 B:0.989898 All:0.990036 (20.015776)
n:209 R:0.990043 G:0.990046 B:0.989835 All:0.989975 (19.988978)
n:210 R:0.990017 G:0.990024 B:0.989827 All:0.989956 (19.980942)
n:211 R:0.990088 G:0.990068 B:0.989872 All:0.990009 (20.004055)
n:212 R:0.990070 G:0.990053 B:0.989856 All:0.989993 (19.996959)
n:213 R:0.990042 G:0.990036 B:0.989826 All:0.989968 (19.985981)
n:214 R:0.990020 G:0.990001 B:0.989779 All:0.989933 (19.971082)
n:215 R:0.990102 G:0.990096 B:0.989886 All:0.990028 (20.012185)
n:216 R:0.990085 G:0.990107 B:0.989928 All:0.990040 (20.017383)
n:217 R:0.990044 G:0.990063 B:0.989900 All:0.990002 (20.001030)
n:218 R:0.990013 G:0.990012 B:0.989857 All:0.989961 (19.983092)
n:219 R:0.990085 G:0.990078 B:0.989924 All:0.990029 (20.012667)
